arbeitsort.plz;landkreis_georef;km2;einwohner;r_u_marker
Allendorf (Lumda);Landkreis Gießen;854,00;251.404,00;u
Allenfeld;Landkreis Bad Kreuznach;920,86;163.452,00;u
Allensbach;Landkreis Konstanz;817,23;267.010,00;u
Allersberg;Landkreis Roth;934,62;162.015,00;u
Allershausen;Landkreis Freising;796,78;161.475,00;u
Alleshausen;Landkreis Biberach;1.438,69;199.051,00;r
Alling;Landkreis Fürstenfeldbruck;434,67;201.631,00;u
Allmannshofen;Landkreis Augsburg;1.078,84;238.845,00;u
Allmannsweiler;Landkreis Biberach;1.438,69;199.051,00;r
Allmendingen;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Allmersbach im Tal;Landkreis Rems-Murr-Kreis;788,93;399.855,00;u
Allstedt;Landkreis Mansfeld-Südharz;1.419,73;132.925,00;r
Almdorf;Kreis Nordfriesland;2.129,66;166.100,00;r
Almersbach;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Alpen;Kreis Wesel;1.042,61;462.014,00;u
Alpenrod;Landkreis Westerwaldkreis;896,44;189.443,00;u
Alperstedt;Landkreis Sömmerda;807,41;71.972,00;r
Alpirsbach;Landkreis Freudenstadt;782,23;93.971,00;r
Alsau;Landkreis Neuwied;595,95;176.419,00;u
Alsbach;Landkreis Westerwaldkreis;896,44;189.443,00;u
Alsbach-Hähnlein;Landkreis Darmstadt-Dieburg;658,06;282.676,00;u
Alsdorf;Kreis Städteregion Aachen;707,06;539.546,00;u
Alsenz;Landkreis Donnersbergkreis;705,66;80.477,00;r
Alsfeld;Landkreis Vogelsbergkreis;1.457,74;108.737,00;r
Alsheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Alsleben (Saale);Landkreis Salzlandkreis;1.433,92;205.785,00;r
Alt Bennebek;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Alt Bukow;Landkreis Rostock;3.367,72;219.050,00;r
Alt Duvenstedt;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Alt Karin;Landkreis Rostock;3.367,72;219.050,00;r
Alt Krenzlin;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Alt Lutterow;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Alt Meteln;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Alt Poorstorf;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Alt Ruppin;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Alt Schwerin;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Alt Sührkow;Landkreis Rostock;3.367,72;219.050,00;r
Alt Tellin;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Alt Tucheband;Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Alt Zachun;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Alt Zauche-Wußwerk;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
Altbach;Landkreis Esslingen;637,44;503.095,00;u
Altbrand;Landkreis Germersheim;450,37;121.357,00;u
Altdöbern;Landkreis Oberspreewald-Lausitz;1.225,79;118.277,00;r
Altdorf;Landkreis Böblingen;616,30;364.070,00;u
Altdorf b. Nürnberg;Landkreis Nürnberger Land;750,56;164.114,00;u
Altefähr;Landkreis Vorpommern-Rügen;3.165,67;226.652,00;r
Alteglofsheim;Landkreis Regensburg;1.392,36;182.469,00;r
Altena;Kreis Märkischer Kreis;1.060,33;424.307,00;u
Altenahr;Landkreis Ahrweiler;816,76;129.806,00;u
Altenau;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Altenbamberg;Landkreis Bad Kreuznach;920,86;163.452,00;u
Altenbeken;Kreis Paderborn;1.245,75;295.012,00;u
Altenberg;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Altenberga;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Altenberge;Kreis Steinfurt;1.794,73;434.852,00;u
Altenbeuthen;Landkreis Saalfeld-Rudolstadt;977,95;109.608,00;r
Altenbuch;Landkreis Miltenberg;748,95;132.364,00;u
Altenburg;Landkreis Altenburger Land;569,64;97.003,00;u
Altendiez;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Altendorf;Landkreis Bamberg;1.167,23;143.775,00;r
Altenglan;Landkreis Kusel;507,89;69.094,00;r
Altenhagen;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Altenhausen;Landkreis Börde;3.099,16;203.092,00;r
Altenhof;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Altenholz;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Altenkirchen;Landkreis Kusel;507,89;69.094,00;r
Altenkirchen (Westerwald);Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Altenkrempe;Kreis Ostholstein;1.325,41;188.322,00;r
Altenkunstadt;Landkreis Lichtenfels;519,72;67.393,00;r
Altenmarkt a.d.Alz;Landkreis Traunstein;1.457,39;168.951,00;r
Altenmedingen;Landkreis Uelzen;1.481,69;93.949,00;r
Altenmoor;Kreis Pinneberg;659,48;297.751,00;u
Altenmünster;Landkreis Augsburg;1.078,84;238.845,00;u
Altenpleen;Landkreis Vorpommern-Rügen;3.165,67;226.652,00;r
Altenriet;Landkreis Esslingen;637,44;503.095,00;u
Altenstadt;Landkreis Neu-Ulm;571,23;180.170,00;u
Altenstadt a.d.Waldnaab;Landkreis Neustadt a.d. Waldnaab;1.509,77;138.940,00;r
Altensteig;Landkreis Calw;796,74;151.273,00;u
Altenthann;Landkreis Regensburg;1.392,36;182.469,00;r
Altentreptow;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Alterkülz;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Altertheim;Landkreis Würzburg;967,41;158.217,00;u
Altes Forsthaus;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Altfraunhofen;Landkreis Landshut;1.348,42;162.933,00;r
Altfriesack;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Althegnenberg;Landkreis Fürstenfeldbruck;434,67;201.631,00;u
Altheim;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Altheim (Alb);Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Althengstett;Landkreis Calw;796,74;151.273,00;u
Althornbach;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Althütte;Landkreis Rems-Murr-Kreis;788,93;399.855,00;u
Althüttendorf;Landkreis Barnim;1.480,50;172.581,00;r
Altkalen;Landkreis Rostock;3.367,72;219.050,00;r
Altlandsberg;Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Altlay;Landkreis Cochem-Zell;642,48;58.868,00;r
Altleiningen;Landkreis Bad Dürkheim;661,13;147.311,00;u
Altlußheim;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Altmachern;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Altmannstein;Landkreis Eichstätt;1.211,14;123.581,00;r
Altmärkische Höhe;Landkreis Stendal;2.679,48;119.034,00;r
Altmärkische Wische;Landkreis Stendal;2.679,48;119.034,00;r
Altmittweida;Landkreis Mittelsachsen;2.061,49;314.980,00;u
Alt-Mölln;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Altomünster;Landkreis Dachau;576,89;138.642,00;u
Altona;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Altötting;Landkreis Altötting;556,17;97.226,00;u
Altrich;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Altrip;Landkreis Rhein-Pfalz-Kreis;305,83;146.892,00;u
Altscheid;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Altshausen;Landkreis Ravensburg;1.630,40;270.065,00;u
Altstrimmig;Landkreis Cochem-Zell;642,48;58.868,00;r
Altusried;Landkreis Oberallgäu;1.526,94;149.046,00;r
Altwarp;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Altweidelbach;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Altwigshagen;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Altwittenbek;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Alveslohe;Kreis Segeberg;1.443,50;269.392,00;u
Alzenau;Landkreis Aschaffenburg;692,82;174.706,00;u
Alzey;Landkreis Alzey-Worms;591,37;125.821,00;u
Am Ettersberg;Landkreis Weimarer Land;813,31;87.083,00;r
Am Großen Bruch;Landkreis Börde;3.099,16;203.092,00;r
Am Mellensee;Landkreis Teltow-Fläming;2.106,69;159.818,00;r
Am Ohmberg;Landkreis Eichsfeld;942,96;102.407,00;r
Am Römerhof;Landkreis Wetteraukreis;1.099,49;292.837,00;u
Am Römerschacht;Landkreis Wetteraukreis;1.099,49;292.837,00;u
Am Rönndeich;Landkreis Stade;1.215,40;196.018,00;u
Am Rüdesheimer Hafen;Landkreis Rheingau-Taunus-Kreis;756,32;176.559,00;u
Am Salzhaff;Landkreis Rostock;3.367,72;219.050,00;r
Am Sandkopf;Kreisfreie Stadt Kassel;186,31;198.831,00;u
Am Sandweiher;Landkreis Kaiserslautern;537,10;92.400,00;u
Amberg;Kreisfreie Stadt Amberg;50,17;41.938,00;u
Amelinghausen;Landkreis Lüneburg;1.068,20;169.554,00;u
Amerang;Landkreis Rosenheim;1.518,28;244.687,00;u
Amerdingen;Landkreis Donau-Ries;1.273,90;128.113,00;r
Ammeldingen an der Our;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Ammeldingen bei Neuerburg;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Ammerbuch;Landkreis Tübingen;517,04;211.984,00;u
Ammern;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Ammerndorf;Landkreis Fürth;307,24;112.843,00;u
Ammersbek;Kreis Stormarn;836,53;205.490,00;u
Ammerthal;Landkreis Amberg-Sulzbach;1.255,95;104.104,00;r
Amöneburg;Landkreis Marburg-Biedenkopf;1.261,10;241.518,00;u
Amorbach;Landkreis Miltenberg;748,95;132.364,00;u
Ampfing;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Amstetten;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Amt Creuzburg;Landkreis Wartburgkreis;1.360,71;131.802,00;r
Amt Wachsenburg;Landkreis Ilm-Kreis;819,46;109.562,00;r
Amtsberg;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Amtzell;Landkreis Ravensburg;1.630,40;270.065,00;u
An der Chaussee;Kreis Nordfriesland;2.129,66;166.100,00;r
An der Poststraße;Landkreis Burgenlandkreis;1.310,85;182.743,00;r
An der Rhumequelle;Landkreis Göttingen;1.676,76;317.156,00;u
An der Schmücke;Landkreis Kyffhäuserkreis;1.037,58;80.236,00;r
Andechs;Landkreis Starnberg;465,68;120.683,00;u
Anderbeck;Landkreis Harz;2.113,76;239.545,00;r
Anderlingen;Landkreis Rotenburg (Wümme);2.148,82;172.747,00;r
Andernach;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Andervenne;Landkreis Emsland;2.882,18;312.236,00;r
Andisleben;Landkreis Sömmerda;807,41;71.972,00;r
Angelbachtal;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Angelburg;Landkreis Marburg-Biedenkopf;1.261,10;241.518,00;u
Angelhof I u. II;Kreisfreie Stadt Speyer;41,76;49.582,00;u
Anger;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Angermünde;Landkreis Uckermark;2.914,27;122.383,00;r
Angern;Landkreis Börde;3.099,16;203.092,00;r
Anhausen;Landkreis Neuwied;595,95;176.419,00;u
Ankershagen;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Anklam;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Ankum;Landkreis Osnabrück;2.118,81;351.437,00;u
Annaberg;Landkreis Bad Dürkheim;661,13;147.311,00;u
Annaberg-Buchholz;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Annaburg;Landkreis Wittenberg;1.944,03;133.391,00;r
Annahütte;Landkreis Oberspreewald-Lausitz;1.225,79;118.277,00;r
Annweiler am Trifels;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Anröchte;Kreis Soest;1.327,65;297.431,00;u
Anrode;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Ansbach;Kreisfreie Stadt Ansbach;99,78;39.510,00;u
Anschau;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Antdorf;Landkreis Weilheim-Schongau;983,83;128.973,00;r
Antrifttal;Landkreis Vogelsbergkreis;1.457,74;108.737,00;r
Antweiler;Landkreis Ahrweiler;816,76;129.806,00;u
Anzing;Landkreis Ebersberg;566,19;135.859,00;u
Apelern;Landkreis Schaumburg;675,21;157.917,00;u
Apen;Landkreis Ammerland;730,05;118.656,00;u
Apenburg-Winterfeld;Landkreis Altmarkkreis Salzwedel;1.911,39;76.209,00;r
Apensen;Landkreis Stade;1.215,40;196.018,00;u
Apfeldorf;Landkreis Landsberg am Lech;768,72;111.807,00;r
Apfelstädt;Landkreis Gotha;951,39;137.259,00;r
Apfeltrach;Landkreis Unterallgäu;1.228,93;135.460,00;r
Apolda;Landkreis Weimarer Land;813,31;87.083,00;r
Appel;Landkreis Harburg;1.487,02;257.782,00;u
Appen;Kreis Pinneberg;659,48;297.751,00;u
Appenheim;Landkreis Mainz-Bingen;571,11;193.441,00;u
Appenweier;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Apperting;Landkreis Traunstein;1.457,39;168.951,00;r
Arbach;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Arberg;Landkreis Ansbach;1.970,53;178.778,00;r
Aremberg;Landkreis Ahrweiler;816,76;129.806,00;u
Arendsee (Altmark);Landkreis Altmarkkreis Salzwedel;1.911,39;76.209,00;r
Arenrath;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Arensdorf;Landkreis Anhalt-Bitterfeld;1.029,81;163.437,00;u
Arenshausen;Landkreis Eichsfeld;942,96;102.407,00;r
Aresing;Landkreis Neuburg-Schrobenhausen;739,37;90.764,00;r
Arft;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Argenbühl;Landkreis Ravensburg;1.630,40;270.065,00;u
Argenschwang;Landkreis Bad Kreuznach;920,86;163.452,00;u
Argenthal;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Arholzen;Landkreis Holzminden;693,50;73.651,00;r
Arkebek;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Arlewatt;Kreis Nordfriesland;2.129,66;166.100,00;r
Armsheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Armstedt;Kreis Segeberg;1.443,50;269.392,00;u
Armstorf;Landkreis Cuxhaven;2.048,08;199.913,00;r
Arnbruck;Landkreis Regen;976,16;77.066,00;r
Arneburg;Landkreis Stendal;2.679,48;119.034,00;r
Arnis;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Arnsberg;Kreis Hochsauerlandkreis;1.893,60;262.371,00;r
Arnschwang;Landkreis Cham;1.528,50;126.237,00;r
Arnsdorf;Landkreis Bautzen;2.402,14;316.006,00;r
Arnshöfen;Landkreis Westerwaldkreis;896,44;189.443,00;u
Arnstadt;Landkreis Ilm-Kreis;819,46;109.562,00;r
Arnstein;Landkreis Main-Spessart;1.325,96;125.841,00;r
Arnstorf;Landkreis Rottal-Inn;1.282,57;117.440,00;r
Arpsdorf;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Arpshagen;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Arrach;Landkreis Cham;1.528,50;126.237,00;r
Artamhof;Landkreis Kaiserslautern;537,10;92.400,00;u
Artern;Landkreis Kyffhäuserkreis;1.037,58;80.236,00;r
Artlenburg;Landkreis Lüneburg;1.068,20;169.554,00;u
Arzbach;Landkreis Westerwaldkreis;896,44;189.443,00;u
Arzberg;Landkreis Nordsachsen;2.030,82;201.758,00;r
