arbeitsort.plz;landkreis_georef;km2;einwohner;r_u_marker
Maitenbeth;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Maitzborn;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Makenhof;Landkreis Ludwigsburg;690,72;510.260,00;u
Malberg;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Malbergweich;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Malborn;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Malchin;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Malching;Landkreis Passau;1.532,86;184.986,00;r
Malchow;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Malente;Kreis Plön;1.155,28;145.095,00;r
Malgersdorf;Landkreis Rottal-Inn;1.282,57;117.440,00;r
Malitschkendorf;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Malk Göhren;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Malleichen;Landkreis Lindau (Bodensee);323,13;78.562,00;u
Mallersdorf-Pfaffenberg;Landkreis Straubing-Bogen;1.202,52;96.269,00;r
Malliß;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Mallnow;Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Malsburg-Marzell;Landkreis Lörrach;806,08;218.992,00;u
Malsch;Landkreis Karlsruhe;1.083,67;424.211,00;u
Malschwitz;Landkreis Bautzen;2.402,14;316.006,00;r
Malse;Landkreis Rotenburg (Wümme);2.148,82;172.747,00;r
Malsfeld;Landkreis Schwalm-Eder-Kreis;1.537,76;182.119,00;r
Malterdingen;Landkreis Emmendingen;715,72;159.225,00;u
Malzow;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Mammelzen;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mammendorf;Landkreis Fürstenfeldbruck;434,67;201.631,00;u
Mamming;Landkreis Dingolfing-Landau;878,58;90.409,00;r
Manching;Landkreis Pfaffenhofen a.d. Ilm;773,79;117.865,00;u
Mandel;Landkreis Bad Kreuznach;920,86;163.452,00;u
Mandelbachtal;Landkreis Saarpfalz-Kreis;417,97;145.485,00;u
Mandern;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Manderscheid;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Manhagen;Kreis Ostholstein;1.325,41;188.322,00;r
Manker;Landkreis Havelland;1.644,35;154.033,00;r
Mankmoos;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Mannebach;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Mannhausen;Landkreis Börde;3.099,16;203.092,00;r
Mannheim;Stadtkreis Mannheim;144,97;290.106,00;u
Mannweiler-Cölln;Landkreis Donnersbergkreis;705,66;80.477,00;r
Mansfeld;Landkreis Mansfeld-Südharz;1.419,73;132.925,00;r
Mantel;Landkreis Neustadt a.d. Waldnaab;1.509,77;138.940,00;r
Manubach;Landkreis Mainz-Bingen;571,11;193.441,00;u
Marbach;Landkreis Odenwaldkreis;623,44;96.763,00;u
Marbach am Neckar;Landkreis Ludwigsburg;690,72;510.260,00;u
Marburg;Landkreis Marburg-Biedenkopf;1.261,10;241.518,00;u
Margetshöchheim;Landkreis Würzburg;967,41;158.217,00;u
Maria Laach;Landkreis Ahrweiler;816,76;129.806,00;u
Maria Martental;Landkreis Cochem-Zell;642,48;58.868,00;r
Mariaposching;Landkreis Straubing-Bogen;1.202,52;96.269,00;r
Marienberg;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Marieney;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Marienfeld;Kreis Gütersloh;968,66;351.402,00;u
Marienfels;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Marienfließ;Landkreis Prignitz;1.671,97;70.727,00;r
Marienhafe;Landkreis Aurich;1.291,40;188.146,00;r
Marienhausen;Landkreis Neuwied;595,95;176.419,00;u
Marienheide;Kreis Oberbergischer Kreis;918,37;273.599,00;u
Marienhof;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Marienmünster;Kreis Höxter;1.200,23;145.949,00;r
Marienrachdorf;Landkreis Westerwaldkreis;896,44;189.443,00;u
Marienstatt;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mariental;Landkreis Helmstedt;681,68;91.558,00;r
Marienthal;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Marienwerder;Landkreis Barnim;1.480,50;172.581,00;r
Maring-Noviand;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Marisfeld;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Mark Landin;Landkreis Uckermark;2.914,27;122.383,00;r
Markdorf;Landkreis Bodenseekreis;664,29;204.163,00;u
Markersdorf;Landkreis Görlitz;2.117,33;270.663,00;r
Markertsgrün;Landkreis Haßberge;964,29;84.705,00;r
Markgröningen;Landkreis Ludwigsburg;690,72;510.260,00;u
Märkisch Buchholz;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
Märkisch Linden;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Märkisch Luch;Landkreis Stendal;2.679,48;119.034,00;r
Märkische Heide;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
Märkische Höhe;Landkreis Märkisch-Oderland;2.151,55;187.656,00;r
Markkleeberg;Landkreis Leipzig;1.651,85;262.784,00;u
Marklkofen;Landkreis Dingolfing-Landau;878,58;90.409,00;r
Marklohe;Landkreis Nienburg (Weser);1.399,84;122.881,00;r
Markneukirchen;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Markranstädt;Landkreis Leipzig;1.651,85;262.784,00;u
Markt Berolzheim;Landkreis Weißenburg-Gunzenhausen;973,00;92.556,00;r
Markt Bibart;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Markt Einersheim;Landkreis Kitzingen;683,60;87.849,00;r
Markt Erlbach;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Markt Indersdorf;Landkreis Dachau;576,89;138.642,00;u
Markt Nordheim;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Markt Rettenbach;Landkreis Unterallgäu;1.228,93;135.460,00;r
Markt Schwaben;Landkreis Ebersberg;566,19;135.859,00;u
Markt Taschendorf;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Markt Wald;Landkreis Unterallgäu;1.228,93;135.460,00;r
Marktbergel;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Marktbreit;Landkreis Kitzingen;683,60;87.849,00;r
Marktgraitz;Landkreis Lichtenfels;519,72;67.393,00;r
Marktheidenfeld;Landkreis Main-Spessart;1.325,96;125.841,00;r
Marktl;Landkreis Altötting;556,17;97.226,00;u
Marktleugast;Landkreis Kulmbach;658,26;74.281,00;r
Marktleuthen;Landkreis Wunsiedel i. Fichtelgebirge;598,88;76.220,00;r
Marktoberdorf;Landkreis Ostallgäu;1.393,01;133.904,00;r
Marktoffingen;Landkreis Donau-Ries;1.273,90;128.113,00;r
Marktredwitz;Landkreis Wunsiedel i. Fichtelgebirge;598,88;76.220,00;r
Marktrodach;Landkreis Kronach;651,32;70.063,00;r
Marktschellenberg;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Marktschorgast;Landkreis Kulmbach;658,26;74.281,00;r
Marktsteft;Landkreis Kitzingen;683,60;87.849,00;r
Marktzeuln;Landkreis Lichtenfels;519,72;67.393,00;r
Markvippach;Landkreis Sömmerda;807,41;71.972,00;r
Marl;Kreis Recklinghausen;760,96;619.989,00;u
Marloffstein;Landkreis Erlangen-Höchstadt;561,54;127.368,00;u
Marlow;Landkreis Vorpommern-Rügen;3.165,67;226.652,00;r
Marne;Kreis Dithmarschen;1.314,31;127.022,00;r
Marnerdeich;Kreis Dithmarschen;1.314,31;127.022,00;r
Marnheim;Landkreis Donnersbergkreis;705,66;80.477,00;r
Maroldsweisach;Landkreis Haßberge;964,29;84.705,00;r
Marolterode;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Maroth;Landkreis Westerwaldkreis;896,44;189.443,00;u
Marpingen;Landkreis St. Wendel;476,60;90.271,00;u
Marquartstein;Landkreis Traunstein;1.457,39;168.951,00;r
Marsberg;Kreis Hochsauerlandkreis;1.893,60;262.371,00;r
Marschacht;Landkreis Harburg;1.487,02;257.782,00;u
Martensrade;Kreis Plön;1.155,28;145.095,00;r
Martfeld;Landkreis Diepholz;1.989,36;212.437,00;r
Marth;Landkreis Eichsfeld;942,96;102.407,00;r
Martinroda;Landkreis Ilm-Kreis;819,46;109.562,00;r
Martinsheim;Landkreis Kitzingen;683,60;87.849,00;r
Martinshöhe;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Martinskirchen;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Martinsrieth;Landkreis Mansfeld-Südharz;1.419,73;132.925,00;r
Martinstein;Landkreis Bad Kreuznach;920,86;163.452,00;u
Marxdorf;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Marxen;Landkreis Harburg;1.487,02;257.782,00;u
Marxheim;Landkreis Donau-Ries;1.273,90;128.113,00;r
Marxzell;Landkreis Karlsruhe;1.083,67;424.211,00;u
Marzauermühle;Landkreis Westerwaldkreis;896,44;189.443,00;u
Marzhausen;Landkreis Westerwaldkreis;896,44;189.443,00;u
Marzling;Landkreis Freising;796,78;161.475,00;u
Masburg;Landkreis Cochem-Zell;642,48;58.868,00;r
Maselheim;Landkreis Biberach;1.438,69;199.051,00;r
Maßbach;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Massen;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Massenbachhausen;Landkreis Heilbronn;1.094,32;323.213,00;u
Massenhausen;Landkreis Freising;796,78;161.475,00;u
Masserberg;Landkreis Hildburghausen;902,59;65.171,00;r
Massing;Landkreis Rottal-Inn;1.282,57;117.440,00;r
Maßweiler;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Mastershausen;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Masthorn;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Matzenbach;Landkreis Kusel;507,89;69.094,00;r
Matzerath;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Matzlow-Garwitz;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Mauchenheim;Landkreis Donnersbergkreis;705,66;80.477,00;r
Mauden;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mauderode;Landkreis Nordhausen;712,69;87.366,00;r
Mauel;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Mauer;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Mauern;Landkreis Freising;796,78;161.475,00;u
Mauerreuten;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Mauerstetten;Landkreis Ostallgäu;1.393,01;133.904,00;r
Maulbronn;Landkreis Enzkreis;573,07;191.389,00;u
Maulburg;Landkreis Lörrach;806,08;218.992,00;u
Mauschbach;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Mauth;Landkreis Freyung-Grafenau;985,64;78.573,00;r
Mauthaus;Landkreis Kronach;651,32;70.063,00;r
Maxberg;Landkreis Weißenburg-Gunzenhausen;973,00;92.556,00;r
Maxdorf;Landkreis Rhein-Pfalz-Kreis;305,83;146.892,00;u
Maxhütte-Haidhof;Landkreis Schwandorf;1.448,40;142.029,00;r
Maxsain;Landkreis Westerwaldkreis;896,44;189.443,00;u
Mayen;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Mayschoß;Landkreis Ahrweiler;816,76;129.806,00;u
Mechelgrün;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Mechelroda;Landkreis Weimarer Land;813,31;87.083,00;r
Mechelsdorf;Landkreis Rostock;3.367,72;219.050,00;r
Mechernich;Kreis Euskirchen;1.248,58;188.288,00;u
Mechow;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Mechtersen;Landkreis Lüneburg;1.068,20;169.554,00;u
Mechterstädt;Landkreis Gotha;951,39;137.259,00;r
Meckel;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Meckenbach;Landkreis Bad Kreuznach;920,86;163.452,00;u
Meckenbeuren;Landkreis Bodenseekreis;664,29;204.163,00;u
Meckenheim;Kreis Rhein-Sieg-Kreis;1.152,60;578.890,00;u
Meckesheim;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Mecklinge;Landkreis Diepholz;1.989,36;212.437,00;r
Medard;Landkreis Donnersbergkreis;705,66;80.477,00;r
Meddersheim;Landkreis Bad Kreuznach;920,86;163.452,00;u
Meddewade;Kreis Stormarn;836,53;205.490,00;u
Medebach;Kreis Hochsauerlandkreis;1.893,60;262.371,00;r
Medelby;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Medlingen;Landkreis Dillingen a.d. Donau;791,86;93.455,00;r
Medow;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Meeder;Landkreis Coburg;590,35;87.833,00;r
Meerane;Landkreis Zwickau;950,52;335.773,00;u
Meerbeck;Landkreis Schaumburg;675,21;157.917,00;u
Meerbusch;Kreis Rhein-Kreis Neuss;576,41;437.552,00;u
Meerfeld;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Meersburg;Landkreis Bodenseekreis;664,29;204.163,00;u
Meesiger;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Meetzen;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Meezen;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Megesheim;Landkreis Donau-Ries;1.273,90;128.113,00;r
Meggerdorf;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Mehlbach;Landkreis Kaiserslautern;537,10;92.400,00;u
Mehlbek;Kreis Steinburg;972,59;127.718,00;r
Mehlingen;Landkreis Kaiserslautern;537,10;92.400,00;u
Mehlmeisel;Landkreis Bayreuth;1.289,34;105.722,00;r
Mehltheuer;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Mehmels;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Mehna;Landkreis Altenburger Land;569,64;97.003,00;u
Mehren;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mehring;Landkreis Altötting;556,17;97.226,00;u
Mehrstetten;Landkreis Reutlingen;1.093,24;273.540,00;u
Meiersberg;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Meierstorf;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Meilendorf;Landkreis Anhalt-Bitterfeld;1.029,81;163.437,00;u
Meinborn;Landkreis Neuwied;595,95;176.419,00;u
Meine;Landkreis Gifhorn;1.566,89;171.648,00;r
Meinersen;Landkreis Gifhorn;1.566,89;171.648,00;r
Meinerzhagen;Kreis Märkischer Kreis;1.060,33;424.307,00;u
Meineweh;Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Meinhard;Landkreis Werra-Meißner-Kreis;1.024,64;102.436,00;r
Meinheim;Landkreis Weißenburg-Gunzenhausen;973,00;92.556,00;r
Meiningen;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Meinsdorf;Landkreis Teltow-Fläming;2.106,69;159.818,00;r
Meisburg;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Meisdorf;Landkreis Harz;2.113,76;239.545,00;r
Meisenheim;Landkreis Bad Kreuznach;920,86;163.452,00;u
Meißen;Landkreis Meißen;1.456,73;247.615,00;u
Meißenheim;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Meißner;Landkreis Werra-Meißner-Kreis;1.024,64;102.436,00;r
Meitingen;Landkreis Augsburg;1.078,84;238.845,00;u
Melbeck;Landkreis Lüneburg;1.068,20;169.554,00;u
Melchhof;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Melchow;Landkreis Barnim;1.480,50;172.581,00;r
Meldorf;Kreis Dithmarschen;1.314,31;127.022,00;r
Melle;Landkreis Osnabrück;2.118,81;351.437,00;u
Mellen;Landkreis Prignitz;1.671,97;70.727,00;r
Mellenthin;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Mellingen;Landkreis Weimarer Land;813,31;87.083,00;r
Mellinghausen;Landkreis Diepholz;1.989,36;212.437,00;r
Mellrichstadt;Landkreis Rhön-Grabfeld;1.017,06;80.980,00;r
Melsbach;Landkreis Neuwied;595,95;176.419,00;u
Melsdorf;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Melsungen;Landkreis Schwalm-Eder-Kreis;1.537,76;182.119,00;r
Melusinental;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Melz;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Memmelsdorf;Landkreis Bamberg;1.167,23;143.775,00;r
Memmingen;Kreisfreie Stadt Memmingen;70,01;41.264,00;u
Memmingerberg;Landkreis Unterallgäu;1.228,93;135.460,00;r
Menden (Sauerland);Kreis Märkischer Kreis;1.060,33;424.307,00;u
Mendig;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Mengen;Landkreis Sigmaringen;1.124,48;111.447,00;r
Mengerschied;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Mengerskirchen;Landkreis Limburg-Weilburg;737,61;170.838,00;u
Mengkofen;Landkreis Dingolfing-Landau;878,58;90.409,00;r
Menglers;Landkreis Hersfeld-Rotenburg;1.096,37;120.869,00;r
Menningen;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Menslage;Landkreis Osnabrück;2.118,81;351.437,00;u
Menteroda;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Menz;Landkreis Jerichower Land;2.021,83;103.142,00;r
Menzendorf;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Meppen;Landkreis Emsland;2.882,18;312.236,00;r
Merching;Landkreis Aichach-Friedberg;779,72;126.556,00;u
Merchweiler;Landkreis Neunkirchen;249,56;135.730,00;u
Merdingen;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Merenberg;Landkreis Limburg-Weilburg;737,61;170.838,00;u
Mering;Landkreis Aichach-Friedberg;779,72;126.556,00;u
Merkelbach;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Merkendorf;Landkreis Ansbach;1.970,53;178.778,00;r
Merkeshausen;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Merklingen;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Merlscheid;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Mermuth;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Merschbach;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Merseburg;Landkreis Saalekreis;1.549,73;199.557,00;r
Mertendorf;Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Mertesdorf;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Mertesheim;Landkreis Bad Dürkheim;661,13;147.311,00;u
Mertingen;Landkreis Donau-Ries;1.273,90;128.113,00;r
Mertloch;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Merxheim;Landkreis Bad Kreuznach;920,86;163.452,00;u
Merzalben;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Merzdorf;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Merzen;Landkreis Osnabrück;2.118,81;351.437,00;u
Merzenich;Kreis Düren;941,35;259.023,00;u
Merzhausen;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Merzien;Landkreis Anhalt-Bitterfeld;1.029,81;163.437,00;u
Merzig;Landkreis Merzig-Wadern;555,81;103.826,00;u
Merzkirchen;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Merzweiler;Landkreis Kusel;507,89;69.094,00;r
Meschede;Kreis Hochsauerlandkreis;1.893,60;262.371,00;r
Mescherin;Landkreis Uckermark;2.914,27;122.383,00;r
Meseberg;Landkreis Börde;3.099,16;203.092,00;r
Mesekenhagen;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Mesenich;Landkreis Cochem-Zell;642,48;58.868,00;r
Mespelbrunn;Landkreis Aschaffenburg;692,82;174.706,00;u
Messel;Landkreis Darmstadt-Dieburg;658,06;282.676,00;u
Messenkamp;Landkreis Schaumburg;675,21;157.917,00;u
Messerich;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Messersbacherhof;Landkreis Donnersbergkreis;705,66;80.477,00;r
Messingen;Landkreis Emsland;2.882,18;312.236,00;r
Meßkirch;Landkreis Sigmaringen;1.124,48;111.447,00;r
Meßstetten;Landkreis Zollernalbkreis;916,81;185.793,00;u
Mestlin;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Metebach;Landkreis Gotha;951,39;137.259,00;r
Metelen;Kreis Steinfurt;1.794,73;434.852,00;u
Metelsdorf;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Metten;Landkreis Deggendorf;862,07;114.830,00;r
Mettendorf;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Mettenheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Metterich;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Mettingen;Kreis Steinfurt;1.794,73;434.852,00;u
Mettlach;Landkreis Merzig-Wadern;555,81;103.826,00;u
Mettmann;Kreis Mettmann;408,47;485.196,00;u
Mettweiler;Landkreis Birkenfeld;825,16;87.116,00;r
Metzenhausen;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Metzingen;Landkreis Reutlingen;1.093,24;273.540,00;u
Meudt;Landkreis Westerwaldkreis;896,44;189.443,00;u
Meura;Landkreis Saalfeld-Rudolstadt;977,95;109.608,00;r
Meuro;Landkreis Oberspreewald-Lausitz;1.225,79;118.277,00;r
Meusebach;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Meuselwitz;Landkreis Altenburger Land;569,64;97.003,00;u
Meuspath;Landkreis Ahrweiler;816,76;129.806,00;u
Meyenburg;Landkreis Prignitz;1.671,97;70.727,00;r
Meyn;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Michelau i. Steigerwald;Landkreis Schweinfurt;832,66;113.230,00;r
Michelau i.OFr.;Landkreis Lichtenfels;519,72;67.393,00;r
Michelbach;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Michelbach (Westerwald);Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Michelbach an der Bilz;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Michelbacher Mühle;Landkreis Marburg-Biedenkopf;1.261,10;241.518,00;u
Michelfeld;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Michelhölzle;Landkreis Tuttlingen;715,74;131.707,00;u
Michelsneukirchen;Landkreis Cham;1.528,50;126.237,00;r
Michelstadt;Landkreis Odenwaldkreis;623,44;96.763,00;u
Michendorf;Landkreis Potsdam-Mittelmark;2.603,43;203.609,00;r
Mickhausen;Landkreis Augsburg;1.078,84;238.845,00;u
Midlum;Kreis Nordfriesland;2.129,66;166.100,00;r
Miehlen;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Mielberg;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Miele;Landkreis Celle;1.550,27;177.082,00;r
Mielkendorf;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Miellen;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Miesbach;Landkreis Miesbach;866,56;93.835,00;r
Miesitz;Landkreis Saale-Orla-Kreis;1.146,29;85.837,00;r
Mietingen;Landkreis Biberach;1.438,69;199.051,00;r
Milda;Kreisfreie Stadt Jena;200,52;112.095,00;u
Mildenau;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Mildstedt;Kreis Nordfriesland;2.129,66;166.100,00;r
Mildterhof;Kreis Nordfriesland;2.129,66;166.100,00;r
Millienhagen-Oebelitz;Landkreis Vorpommern-Rügen;3.165,67;226.652,00;r
Milmersdorf;Landkreis Uckermark;2.914,27;122.383,00;r
Milow;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Milower Land;Landkreis Stendal;2.679,48;119.034,00;r
Miltach;Landkreis Cham;1.528,50;126.237,00;r
Miltenberg;Landkreis Miltenberg;748,95;132.364,00;u
Mimbach;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Mindelheim;Landkreis Unterallgäu;1.228,93;135.460,00;r
Mindelstetten;Landkreis Eichstätt;1.211,14;123.581,00;r
Minden;Kreis Minden-Lübbecke;1.153,16;313.342,00;u
Minderleinsmühle;Landkreis Forchheim;642,65;112.919,00;u
Minderlittgen;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Minfeld;Landkreis Germersheim;450,37;121.357,00;u
Minheim;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Mintraching;Landkreis Regensburg;1.392,36;182.469,00;r
Mirow;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Misselberg;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Missen-Wilhams;Landkreis Oberallgäu;1.526,94;149.046,00;r
Mistelbach;Landkreis Bayreuth;1.289,34;105.722,00;r
Mistelgau;Landkreis Bayreuth;1.289,34;105.722,00;r
Mistorf;Landkreis Rostock;3.367,72;219.050,00;r
Mittelangeln;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Mittelberg;Landkreis Oberallgäu;1.526,94;149.046,00;r
Mittelbiberach;Landkreis Biberach;1.438,69;199.051,00;r
Mittelbrunn;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Mitteleschenbach;Landkreis Ansbach;1.970,53;178.778,00;r
Mittelfischbach;Landkreis Rems-Murr-Kreis;788,93;399.855,00;u
Mittelherwigsdorf;Landkreis Görlitz;2.117,33;270.663,00;r
Mittelhof;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Mittelmühle;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Mittelndorf;Landkreis Sächsische Schweiz-Osterzgebirge;1.657,79;247.443,00;r
Mittelneufnach;Landkreis Augsburg;1.078,84;238.845,00;u
Mittelnkirchen;Landkreis Stade;1.215,40;196.018,00;u
Mittelpöllnitz;Landkreis Saale-Orla-Kreis;1.146,29;85.837,00;r
Mittelreidenbach;Landkreis Birkenfeld;825,16;87.116,00;r
Mittelschieda;Landkreis Wunsiedel i. Fichtelgebirge;598,88;76.220,00;r
Mittelsinn;Landkreis Main-Spessart;1.325,96;125.841,00;r
Mittelsömmern;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Mittelstenahe;Landkreis Cuxhaven;2.048,08;199.913,00;r
Mittelstetten;Landkreis Fürstenfeldbruck;434,67;201.631,00;u
Mittelstrimmig;Landkreis Cochem-Zell;642,48;58.868,00;r
Mittenaar;Landkreis Lahn-Dill-Kreis;1.065,67;253.676,00;u
Mittenwald;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Mittenwalde;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
Mitterfels;Landkreis Straubing-Bogen;1.202,52;96.269,00;r
Mittergars;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Mitterleiten;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Mitterskirchen;Landkreis Rottal-Inn;1.282,57;117.440,00;r
Mitterstatt;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Mitterteich;Landkreis Tirschenreuth;1.084,69;75.058,00;r
Mittweida;Landkreis Mittelsachsen;2.061,49;314.980,00;u
